run_id,dataset,model,architecture,protocol_version,keep_ratio,block_size,child_refresh_steps,score_refresh_steps,v6_selection_mode,v6_gradient_retention,v6_selection_method,v6_early_bird,v6_stability_window,v6_stability_threshold,seed,best_epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_s,is_best_val_loss,best_epoch_so_far,epochs_without_improvement,forward_time_s,epochs_completed,total_training_time_s,mean_epoch_time_s,mean_forward_ms,mean_backward_ms,mean_memory_mb,child_refresh_events,gradient_scoring_events,dense_scoring_time_s,selector_scoring_time_s,child_rebuild_time_s,topology_frozen,topology_freeze_step,mask_distance_mean,effective_keep_ratio_mean,effective_keep_ratio_min,effective_keep_ratio_max
6d0fa590751f65a8,mnist,dense,cnn,protocol-v6-selector-20-v1,1.0,0,0,0,,,,False,0,,1,10,0.0066185101772736,0.99765,0.0255739961893295,0.9927,4.6598799170023995,1,10,0,,10,47.129356251025456,4.712935625102546,1.7541831737771676,3.30374192592667,494.26287646588486,0,0,0.0,0.0,0.0,0,0,,1.0,1.0,1.0
bc32b70650828ee6,mnist,dense,cnn,protocol-v6-selector-20-v1,1.0,0,0,0,,,,False,0,,2,3,0.0279846973817795,0.9914333333333334,0.0232962382907047,0.993,4.651511374991969,1,3,0,,10,47.036120916032814,4.703612091603281,1.7110492412704348,3.285712240081824,491.0444629530917,0,0,0.0,0.0,0.0,0,0,,1.0,1.0,1.0
fc72d78cf4288fb4,mnist,dense,cnn,protocol-v6-selector-20-v1,1.0,0,0,0,,,,False,0,,3,7,0.0098496894562461,0.9967333333333334,0.0253740194908168,0.9911,4.682519207999576,1,7,0,,10,47.16622624899901,4.716622624899901,1.7299964488427615,3.2697126955700178,489.5791611140725,0,0,0.0,0.0,0.0,0,0,,1.0,1.0,1.0
02f3b0891715643f,mnist,dense,cnn,protocol-v6-selector-20-v1,1.0,0,0,0,,,,False,0,,4,6,0.0125971106562142,0.9959333333333332,0.0245164353175438,0.992,4.715668292003102,1,6,0,,10,47.32898196100723,4.732898196100723,1.7277372037232563,3.278914323323659,491.82808168976544,0,0,0.0,0.0,0.0,0,0,,1.0,1.0,1.0
6719ef471fbb47ea,mnist,dense,cnn,protocol-v6-selector-20-v1,1.0,0,0,0,,,,False,0,,5,7,0.0096960094885745,0.9966833333333334,0.0225228555029956,0.9923,4.711798333999468,1,7,0,,10,47.51888983498793,4.751888983498793,1.726020275073862,3.278893207700358,490.945842217484,0,0,0.0,0.0,0.0,0,0,,1.0,1.0,1.0
2bc56f8d14c9095e,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,10,fixed,,taylor,True,5,0.1,1,10,0.0265479001643757,0.99155,0.0409620621398731,0.9878,9.283358583998051,1,10,0,,10,99.61747670899786,9.961747670899786,0.7081505547775809,1.3805668210149302,533.4677871801706,214,214,1.0268632780061935,1.195189906051372,1.9391970860597108,1,2130,0.11568482023027475,0.1990131578947368,0.1990131578947368,0.1990131578947368
0207c9db1fbbcf40,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,10,fixed,,taylor,True,5,0.1,2,8,0.0406220282723506,0.9874,0.0425396459659095,0.9872,9.350817416998323,1,8,0,,10,97.14850320797996,9.714850320797996,0.7078155525307955,1.3809647986264983,528.321914978678,134,134,0.6579766649956521,0.7631363299733426,1.209619881017709,1,1330,0.10272303454121634,0.1990131578947368,0.1990131578947368,0.1990131578947368
432fc1df7a31e1bd,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,10,fixed,,taylor,True,5,0.1,3,10,0.0292282075818628,0.991,0.0410981221494614,0.9863,9.349098207996576,1,10,0,,10,97.25409037500503,9.725409037500503,0.6840492382946443,1.3752055431178003,530.9296775053305,126,126,0.6181864150566919,0.7145416689745558,1.1404364179907076,1,1250,0.10915095006004091,0.1990131578947368,0.1990131578947368,0.1990131578947368
7bd22400f1e1b86e,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,10,fixed,,taylor,True,5,0.1,4,10,0.0322893493031462,0.9897333333333334,0.047216538075637,0.9857,9.369308083012584,1,10,0,,10,101.4000193310494,10.14000193310494,0.687191602282438,1.390521852860499,531.0382229477611,265,265,1.2520211778901154,1.4516119689796927,2.4028566258930244,1,2640,0.11519036519036514,0.1990131578947368,0.1990131578947368,0.1990131578947368
cf3efa0ebb7ad3d3,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,10,fixed,,taylor,True,5,0.1,5,9,0.0291928240026036,0.9909,0.0442730087501971,0.9854,9.326300458007609,1,9,0,,10,98.5536606660171,9.855366066601709,0.6821759819632949,1.3801460215726535,533.6332989072495,180,180,0.8659156209760028,1.001177668003938,1.637149330941602,1,1790,0.10369428551246732,0.1990131578947368,0.1990131578947368,0.1990131578947368
