run_id,dataset,model,architecture,protocol_version,keep_ratio,block_size,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_s
d2a50c441d23311d,cifar10,ssb-v3-block,mlp,protocol-v3,0.8,64,3,1,2.1233839347839356,0.26642,1.933095964050293,0.3801,8.780919082986657
d2a50c441d23311d,cifar10,ssb-v3-block,mlp,protocol-v3,0.8,64,3,2,1.8326815063095092,0.33676,1.6646800573348999,0.4505,8.43309795804089
d2a50c441d23311d,cifar10,ssb-v3-block,mlp,protocol-v3,0.8,64,3,3,1.742851912841797,0.37088,1.61087911529541,0.4534,8.533053042017855
