run_id,dataset,model,architecture,protocol_version,keep_ratio,block_size,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_s
7cd8f10dfc163d37,cifar10,pruning,mlp,protocol-v3,0.8,0,1,1,1.7622875513458252,0.36352,1.5774406141281128,0.4128,6.1284319999977015
7cd8f10dfc163d37,cifar10,pruning,mlp,protocol-v3,0.8,0,1,2,1.5253339003753663,0.43052,1.5531171604156495,0.4291,5.969103832961991
7cd8f10dfc163d37,cifar10,pruning,mlp,protocol-v3,0.8,0,1,3,1.4204046810913087,0.46576,1.4986147436141968,0.4361,5.962565916997846
