run_id,dataset,model,architecture,protocol_version,keep_ratio,block_size,child_refresh_steps,score_refresh_steps,v6_selection_mode,v6_gradient_retention,v6_selection_method,v6_early_bird,v6_stability_window,v6_stability_threshold,seed,timing_detail,record_batch_metrics,epoch,batch,global_step,forward_time_s,backward_time_s,detailed_timing,data_transfer_time_s,selection_refresh_time_s,zero_grad_time_s,loss_time_s,memory_measurement_time_s,optimizer_step_time_s,post_step_time_s,instrumentation_time_s,batch_wall_time_s,unaccounted_time_s,memory_bytes,batch_accuracy,child_refreshed,child_refresh_count,child_topology_before,child_topology_after,gradient_scoring_event,gradient_scoring_event_count,selector_scoring_time_s,dense_scoring_time_s,child_rebuild_time_s,active_structured_units,total_structured_units,effective_keep_ratio,importance_min,importance_mean,importance_max,mask_distance,topology_frozen,topology_freeze_step,topology_freeze_scoring_event
ee509951597a7d05,mnist,dense,cnn,protocol-v7-profile-v1,1.0,0,0,0,,,,False,0,,1,full,False,1,0,1,0.04228966697701253,0.175761209015036,1,0.001135458005592227,0.0,0.00013087500701658428,0.023057499987771735,0.0001354999840259552,0.037761707993922755,3.4249998861923814e-05,0.18255812500137836,0.46388275001663715,0.0010184580460190773,257163264,nan,0,0,,,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,nan,0,0,0
ee509951597a7d05,mnist,dense,cnn,protocol-v7-profile-v1,1.0,0,0,0,,,,False,0,,1,full,False,1,1,2,0.0028172500024084,0.006067291018553078,1,0.0009508329967502505,0.0,9.67920059338212e-05,0.00046300000394694507,2.762500662356615e-05,0.00202341700787656,5.749985575675964e-06,0.00034345898893661797,0.012825916986912489,3.0499970307573676e-05,206159872,nan,0,0,,,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,nan,0,0,0
ee509951597a7d05,mnist,dense,cnn,protocol-v7-profile-v1,1.0,0,0,0,,,,False,0,,1,full,False,1,2,3,0.002741250005783513,0.005574582988629118,1,0.0009858749981503934,0.0,2.8417009161785245e-05,0.000373166985809803,1.6958016203716397e-05,0.0018599579925648868,2.834014594554901e-06,0.0003279169904999435,0.01193745798082091,2.6498979423195124e-05,209027072,nan,0,0,,,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,nan,0,0,0
ee509951597a7d05,mnist,dense,cnn,protocol-v7-profile-v1,1.0,0,0,0,,,,False,0,,1,full,False,1,3,4,0.002695083006983623,0.004538458015304059,1,0.0009482500026933849,0.0,2.0334002329036593e-05,0.00035604200093075633,1.7165992176160216e-05,0.0016297080146614462,2.333021257072687e-06,0.0003207499976269901,0.010547041980316862,1.891792635433376e-05,211763200,nan,0,0,,,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,nan,0,0,0
ee509951597a7d05,mnist,dense,cnn,protocol-v7-profile-v1,1.0,0,0,0,,,,False,0,,1,full,False,1,4,5,0.0021639170008711517,0.004407582979183644,1,0.0007390420068986714,0.0,4.8457994125783443e-05,0.00033725000685080886,1.6292004147544503e-05,0.0015805419825483114,2.1669839043170214e-06,0.0003743340203072876,0.009688249992905185,1.8665014067664742e-05,214138880,nan,0,0,,,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,nan,0,0,0
ee509951597a7d05,mnist,dense,cnn,protocol-v7-profile-v1,1.0,0,0,0,,,,False,0,,1,full,False,1,5,6,0.0020297500013839453,0.003653874999145046,1,0.0009042500169016421,0.0,2.6833004085347056e-05,0.00034170798608101904,1.3957993360236287e-05,0.0015786250005476177,1.7919810488820076e-06,0.00032979200477711856,0.008898083004169166,1.750001683831215e-05,216793088,nan,0,0,,,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,nan,0,0,0
ee509951597a7d05,mnist,dense,cnn,protocol-v7-profile-v1,1.0,0,0,0,,,,False,0,,1,full,False,1,6,7,0.0018045839970000088,0.0035061250091530383,1,0.0009350419859401882,0.0,1.562500256113708e-05,0.0003251250018365681,2.1790998289361596e-05,0.0015326249995268881,1.9170111045241356e-06,0.0002915840013884008,0.008451667003100738,1.724899630062282e-05,218546176,nan,0,0,,,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,nan,0,0,0
ee509951597a7d05,mnist,dense,cnn,protocol-v7-profile-v1,1.0,0,0,0,,,,False,0,,1,full,False,1,7,8,0.0018078339926432818,0.003332624997710809,1,0.0009649159910622984,0.0,1.7457990907132626e-05,0.0003394590166863054,2.0208011846989393e-05,0.0015724169788882136,4.5409833546727896e-06,0.0003665830008685589,0.008447583997622132,2.1543033653870225e-05,220233728,nan,0,0,,,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,nan,0,0,0
ee509951597a7d05,mnist,dense,cnn,protocol-v7-profile-v1,1.0,0,0,0,,,,False,0,,1,full,False,1,8,9,0.001737707993015647,0.003235042007872835,1,0.0009548749949317425,0.0,1.708301715552807e-05,0.00034383300226181746,2.429200685583055e-05,0.0015644579834770411,2.0830193534493446e-06,0.0003187079855706543,0.008214583998778835,1.6501988284289837e-05,222314496,nan,0,0,,,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,nan,0,0,0
ee509951597a7d05,mnist,dense,cnn,protocol-v7-profile-v1,1.0,0,0,0,,,,False,0,,1,full,False,1,9,10,0.0017200840229634196,0.003284708975115791,1,0.0009007919870782644,0.0,1.3791024684906006e-05,0.000338084006216377,2.041601692326367e-05,0.0015724999830126762,1.9999861251562834e-06,0.0003209999995306134,0.008189083018805832,1.5707017155364156e-05,223805440,nan,0,0,,,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,nan,0,0,0
