dataset,model,architecture,protocol_version,keep_ratio,block_size,child_refresh_steps,runs,val_accuracy_mean,val_accuracy_std,train_accuracy_mean,train_accuracy_std,forward_ms_mean,forward_ms_std,backward_ms_mean,backward_ms_std,memory_mb_mean,memory_mb_std,epoch_time_mean,epoch_time_std
cifar10,dense,cnn,protocol-v4,1.0,0,0,3,0.7424666666666667,0.008807004787856815,0.7771466666666665,0.011181150805410586,5.818244398830996,0.007264479046039449,12.487860531197443,0.013212525411115204,724.6238455527138,0.798061929529116,10.948105041325713,0.07614426495908712
cifar10,dense,mlp,protocol-v4,1.0,0,0,3,0.4945333333333333,0.012001805419741367,0.5167466666666667,0.002140031152421192,1.3786442323272927,0.005281413811582785,1.5739019351026888,0.003555433207555731,705.8897103225348,0.47018506449004804,5.9174541806763346,0.00948365918079398
cifar10,ssb-v4,cnn,protocol-v4,0.2,0,100,3,0.3225,0.014982322917358295,0.3225733333333333,0.007016589864979551,1.3513338659328695,0.035824374762527283,3.0633938248794377,0.14899526980265027,745.6834993961353,1.2201167736918594,4.285146958660334,0.007903423818277178
cifar10,ssb-v4,cnn,protocol-v4,0.4,0,100,3,0.4116666666666666,0.017333878196564446,0.4815133333333333,0.006039116933238957,2.392737957996641,0.026816283547495417,5.513614346541157,0.1420211617406874,746.3843776641091,0.5631686015571736,5.806130472337827,0.010517854139498043
cifar10,ssb-v4,cnn,protocol-v4,0.6,0,100,3,0.5443666666666667,0.04738315453126073,0.6081333333333333,0.0037331130887415646,3.496579165562713,0.13279064744366573,9.200678501078563,0.3524656510920691,745.4575563015061,0.35817378226189,8.068438652670011,0.10347262885040118
cifar10,ssb-v4,cnn,protocol-v4,0.8,0,100,3,0.6741,0.024874283909290727,0.6999400000000001,0.0021856806720104258,5.017996051682294,0.1353545332967335,12.104719208243603,0.24141767750961943,745.6367664819551,0.43040648379932595,10.259900513687171,0.06438886199485394
cifar10,ssb-v4,mlp,protocol-v4,0.2,0,100,3,0.4178,0.006799999999999987,0.403,0.004502932377906653,0.5854687585795825,0.03394875505178963,0.657064031526204,0.01412898139038074,719.9576761864165,0.442487343758411,3.3436444726733803,0.012893800775460509
cifar10,ssb-v4,mlp,protocol-v4,0.4,0,100,3,0.4588666666666667,0.003608785575970571,0.42889333333333335,0.0012703280416228387,0.7863004815988665,0.041508362593549925,0.9194075989030415,0.05027207959503184,721.9754901960783,1.3541344217440194,4.119273389010535,0.011314205838139637
cifar10,ssb-v4,mlp,protocol-v4,0.6,0,100,3,0.46986666666666665,0.01091344736246676,0.4492066666666667,0.0022708882256362523,1.0305172237099978,0.08566529715521247,1.1245374419499916,0.0927447355922475,719.9842462347257,2.380138680000454,4.8891033749872195,0.022563494382731857
cifar10,ssb-v4,mlp,protocol-v4,0.8,0,100,3,0.4607333333333334,0.01278840620770754,0.46860000000000007,0.002651565575278121,1.220278216320225,0.08933159795273028,1.377287636890494,0.14295213864541775,720.1110977905655,1.4252774985780687,5.7418336110228365,0.012608003653997913
cifar100,dense,cnn,protocol-v4,1.0,0,0,3,0.42113333333333336,0.003253203549323866,0.43956,0.004129261435172158,5.828909508303117,0.014567009163883322,12.65349951141654,0.008604117717924856,607.351666844274,0.7491930954687286,10.98265106966331,0.006647205484843811
cifar100,dense,mlp,protocol-v4,1.0,0,0,3,0.1956,0.004092676385936229,0.2043,0.0017707625476048319,2.6339383989353142,0.003584756235262264,3.4262119567377987,0.005742583532244585,668.7194027067349,2.718477492778444,11.115257166655889,0.02560076791474314
cifar100,ssb-v4,cnn,protocol-v4,0.2,0,100,3,0.0617,0.0036290494623248113,0.05456,0.0013036870790185794,1.3376968866895151,0.004844917667969006,3.0086395383922357,0.01766513352044066,629.3130461423699,0.6338210247554171,4.297589333650346,0.02010168051560283
cifar100,ssb-v4,cnn,protocol-v4,0.4,0,100,3,0.13556666666666664,0.0027537852736430573,0.12224,0.00658583328061074,2.3747053610093745,0.012433298183090502,5.242405818422196,0.02725225541078393,629.7591112531969,1.7070684147254556,5.720574527649053,0.01360603973508457
cifar100,ssb-v4,cnn,protocol-v4,0.6,0,100,3,0.20066666666666666,0.02168901411621407,0.20540666666666665,0.005830826127859884,3.385562672616235,0.0007209548466411688,8.95088006159787,0.017275911672004637,629.1455891233305,1.961229929648461,8.011177903002439,0.008319605225929836
cifar100,ssb-v4,cnn,protocol-v4,0.8,0,100,3,0.2873,0.020234623791906783,0.30299333333333334,0.004384989547688027,4.940754218232319,0.013841492322176843,11.881129279701293,0.002993470615504534,629.5464842639955,2.4010780006603025,10.27907022232345,0.03342718419700282
cifar100,ssb-v4,mlp,protocol-v4,0.2,0,100,3,0.132,0.00288270706107993,0.11703999999999999,0.001510099334481011,0.8005219753416939,0.002611246748272449,0.8862884960170684,0.0016676990554761965,681.9233713412901,0.11986530868729942,4.446811694321998,0.00617999848915957
cifar100,ssb-v4,mlp,protocol-v4,0.4,0,100,3,0.16690000000000002,0.003465544690232688,0.14114000000000002,0.0017016462617124586,1.1930035111246677,0.0030630040817754057,1.3367927749640742,0.0012315328393821953,683.6113553211139,0.8960106820690584,6.367774847021792,0.008979248132791972
cifar100,ssb-v4,mlp,protocol-v4,0.6,0,100,3,0.17800000000000002,0.0034219877264537496,0.15461333333333335,0.0019401374521753106,1.673538075096598,0.103012466985649,2.1715325871524347,0.15862248654137115,683.8747913114521,1.1589105412316083,8.827478236324774,0.009647817358865848
cifar100,ssb-v4,mlp,protocol-v4,0.8,0,100,3,0.17043333333333333,0.006354001363970063,0.16496,0.002130633708547766,2.359950680064126,0.10961137272703184,2.8274694904785087,0.13905122739210052,682.9567570687695,1.506134829306945,11.47305631932492,0.019759444977791012
mnist,dense,cnn,protocol-v4,1.0,0,0,3,0.9908,0.001915724406066782,0.9909944444444445,0.0004691402696344076,1.7520533628202821,0.018658889396222695,3.3587202237896636,0.0384637685624588,469.3643168088131,19.705276573328344,4.642586457989334,0.03161785040888873
mnist,dense,mlp,protocol-v4,1.0,0,0,3,0.9752333333333333,0.003008875759039142,0.9796166666666668,0.0004444097208658398,0.40553828203386794,0.03318602761261533,0.5258511915522028,0.007651003557045706,463.0882788438759,2.4571319059720795,2.155983611320456,0.004508747908613358
mnist,ssb-v4,cnn,protocol-v4,0.2,0,100,3,0.8849,0.009707213812418063,0.8650888888888889,0.016591834783455467,0.7143101544736483,0.020892920497311777,1.4834358431275916,0.06717651490369525,496.45548300165837,1.7564121920747833,2.934135444345884,0.008422351166242252
mnist,ssb-v4,cnn,protocol-v4,0.4,0,100,3,0.9609666666666667,0.008177000264970783,0.9547277777777777,0.003915437159264428,0.9782181897069302,0.03238564961376694,2.206837196092542,0.09479869145127069,496.66938743781094,1.3286468562763432,3.438830416998826,0.023522190708502956
mnist,ssb-v4,cnn,protocol-v4,0.6,0,100,3,0.9799000000000001,0.0019519221295943203,0.9768833333333333,0.00042720018726582625,1.3017368535348528,0.043288297420286274,2.5926972295359447,0.05766184305932735,495.8676409618574,0.24279855179068036,3.8385267359941886,0.0025525735528258917
mnist,ssb-v4,cnn,protocol-v4,0.8,0,100,3,0.9836333333333332,0.006354001363970054,0.9865666666666666,0.0004512328790226341,1.60917973933413,0.0989537062617317,3.2336913694648484,0.15972095263075672,497.9544502191424,0.6359395139560531,4.386337805345344,0.021484534073014098
mnist,ssb-v4,mlp,protocol-v4,0.2,0,100,3,0.848,0.023829393613770348,0.7751555555555555,0.013761281567149513,0.360273986683437,0.001053971019066366,0.4762034068155863,0.0023321663884948935,470.84777007818053,1.3195485954146702,2.167960333327452,0.005493858808347729
mnist,ssb-v4,mlp,protocol-v4,0.4,0,100,3,0.9148333333333333,0.004931869152089658,0.9075166666666666,0.0035894908335926,0.3645089472323828,0.003486401435766029,0.4844066964355333,0.006173318701002188,472.06423240938165,2.180519786750938,2.1172523193138963,0.010989721525486612
mnist,ssb-v4,mlp,protocol-v4,0.6,0,100,3,0.9504999999999999,0.007450503338701406,0.9522777777777778,0.0011038233218797616,0.37095660204040765,0.002214265440089541,0.4937944120739779,0.0021375106586125348,471.6906575752191,0.4383867244083814,2.134207000315655,0.00508330140334192
mnist,ssb-v4,mlp,protocol-v4,0.8,0,100,3,0.9601333333333333,0.005484827557301431,0.9696888888888888,0.0003029179084491484,0.3859002187106679,0.013320773100516211,0.5122930045300688,0.012456206498572035,471.8309568230277,2.779434064472724,2.160064277666,0.01669676105980302
