run_id,dataset,model,architecture,protocol_version,keep_ratio,block_size,child_refresh_steps,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_s,forward_time_s,mean_forward_ms,mean_backward_ms,mean_memory_mb
ce2ae4625a283b08,mnist,ssb-v4,cnn,protocol-v4,0.4,0,100,3,3,0.1431033490975697,0.9585,0.7005188865969587,0.9695,3.458374959009234,,0.9598388771728561,2.16002799600342,496.4157005152807
2d1a80e35aac235a,mnist,ssb-v4,cnn,protocol-v4,0.2,0,100,1,3,0.418903694820404,0.8795666666666667,9.917825768089294,0.878,2.9259082499775104,,0.7384352127599927,1.5609114735410607,498.2141857675906
8fe9d5ed82287b39,mnist,ssb-v4,mlp,protocol-v4,0.8,0,100,3,3,0.0988278037667274,0.9697833333333332,0.1238287858509458,0.9663,2.177816207986325,,0.3790139514299078,0.5077816411179177,469.7958644278607
31b1f95c8a2cd163,mnist,ssb-v4,cnn,protocol-v4,0.6,0,100,3,3,0.0733138083557287,0.9772833333333332,0.1630313161614486,0.98,3.8357361250091344,,1.260964359547602,2.562315006741666,495.9363894811656
775dde0c9138c290,mnist,ssb-v4,mlp,protocol-v4,0.8,0,100,2,3,0.1009062134941419,0.96935,0.1648731234098784,0.9558,2.1446742080152035,,0.37743211865344595,0.5027210583903884,470.69930481520964
14a3ba4cdec299b1,mnist,ssb-v4,mlp,protocol-v4,0.2,0,100,3,3,0.7863491120656332,0.7896833333333333,2.274369261074066,0.8652,2.170683333009947,,0.35967964716396206,0.47538475340820363,471.5240094171997
1ddfe9faa79e81c5,mnist,ssb-v4,mlp,protocol-v4,0.2,0,100,2,3,0.851594164276123,0.7734666666666666,2.0567106472492216,0.858,2.171560832997784,,0.36149089842369103,0.4788345244663654,471.6921197583511
771e88f93aa0bbdb,mnist,ssb-v4,mlp,protocol-v4,0.4,0,100,3,3,0.3398862830956777,0.9041833333333332,1.001729654195439,0.9105,2.1141185829765163,,0.3677792330444095,0.4896000402882422,474.44223081023455
22b592273b5ebd8e,mnist,ssb-v4,cnn,protocol-v4,0.6,0,100,1,3,0.0734610323905944,0.9769333333333332,0.1683278455904683,0.9818,3.83910045796074,,1.3471646558733816,2.6591970005195282,495.59788113006397
3efa41b7373daf88,mnist,ssb-v4,mlp,protocol-v4,0.4,0,100,2,3,0.3251966969807943,0.90705,0.8422028731092811,0.9202,2.108169832965359,,0.36084060045020405,0.47758134285826315,470.15863761549394
f7f675b0a64098d8,mnist,ssb-v4,mlp,protocol-v4,0.6,0,100,1,3,0.1624350826025009,0.9520333333333332,0.2339687178295105,0.9579,2.128620041999966,,0.3684177742287545,0.4960688106733724,471.56667555081737
d654bbd44ee23bf6,mnist,ssb-v4,cnn,protocol-v4,0.2,0,100,3,3,0.4511809194246928,0.8687166666666667,7.394031894683838,0.896,2.942740250029601,,0.7022649145571452,1.4479887988993712,496.45089285714283
