dataset,model,architecture,protocol_version,keep_ratio,block_size,child_refresh_steps,score_refresh_steps,v6_gradient_retention,v6_selection_mode,v6_selection_method,v6_early_bird,v6_stability_window,v6_stability_threshold,timing_detail,record_batch_metrics,runs,val_accuracy_mean,val_accuracy_std,train_accuracy_mean,train_accuracy_std,forward_ms_mean,forward_ms_std,backward_ms_mean,backward_ms_std,memory_mb_mean,memory_mb_std,epoch_time_mean,epoch_time_std,best_epoch_mean,best_epoch_std,epochs_completed_mean,epochs_completed_std,total_training_time_mean,total_training_time_std,data_transfer_ms_mean,data_transfer_ms_std,selection_refresh_ms_mean,selection_refresh_ms_std,zero_grad_ms_mean,zero_grad_ms_std,loss_ms_mean,loss_ms_std,memory_measurement_ms_mean,memory_measurement_ms_std,optimizer_step_ms_mean,optimizer_step_ms_std,post_step_ms_mean,post_step_ms_std,instrumentation_ms_mean,instrumentation_ms_std,batch_wall_ms_mean,batch_wall_ms_std,unaccounted_ms_mean,unaccounted_ms_std,child_refresh_events_mean,child_refresh_events_std,gradient_scoring_events_mean,dense_scoring_time_mean,selector_scoring_time_mean,child_rebuild_time_mean,effective_keep_ratio_mean,effective_keep_ratio_min,effective_keep_ratio_max,topology_frozen_fraction,topology_freeze_step_mean,mask_distance_mean
mnist,dense,cnn,protocol-v7-profile-v1,1.0,0,0,0,,,,False,0,,full,False,1,0.9519,,0.8494,,2.5343206837106793,,8.589537974146348,,230.1509098101266,,1.653626124985749,,1.0,,1.0,,1.653626124985749,,0.787320745743381,,0.0,,0.022310140996557027,,0.718743605922291,,0.0196250123885465,,2.1519794042628377,,0.003983633949338824,,2.746652986020202,,17.605997491966818,,0.0315233048263786,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,
mnist,ssb-v6,cnn,protocol-v7-profile-v1,0.2,0,0,100,,fixed,weight_l2,True,5,0.1,full,False,1,0.8647,,0.6695,,0.8739926189160128,,2.221064277721187,,491.0668512658228,,1.82503891698434,,1.0,,1.0,,1.82503891698434,,0.8684979645605585,,0.5047895066599247,,0.015777922559623854,,0.4568534300520645,,0.022759951379951796,,2.805745757046352,,9.12937191219206,,2.7555606078910064,,21.218901948820562,,1.5644879998414707,,1.0,,1.0,0.0,0.0019306670001242,0.0148677499964833,0.1990131578947368,0.1990131578947368,0.1990131578947368,0.0,0.0,
mnist,ssb-v7,cnn,protocol-v7-profile-v1,0.2,0,0,100,,fixed,weight_l2,True,5,0.1,full,False,1,0.8647,,0.6695,,1.1488934179407861,,2.739312771200798,,489.32772943037975,,0.9098665000055915,,1.0,,1.0,,0.9098665000055915,,0.7714836060988507,,0.5056940489212826,,0.018130280549013163,,0.5305094929570658,,0.019906682206930804,,3.0357004290658383,,0.005730971932717705,,0.5890859760302228,,9.423759443202023,,0.059311766298251654,,1.0,,1.0,0.0,0.0011130410130135,0.0149584169848822,0.1990131578947368,0.1990131578947368,0.1990131578947368,0.0,0.0,
